2021-12-29 18:28:07,234 WARNING sliding door; wardrobe; four-poster spotted
2021-12-29 18:28:10,254 WARNING sliding door; four-poster; wardrobe spotted
2021-12-29 18:28:13,331 WARNING sliding door; four-poster; wardrobe spotted
2021-12-29 18:28:16,339 WARNING sliding door; wardrobe; four-poster spotted
2021-12-29 18:28:19,448 WARNING sliding door; wardrobe; four-poster spotted
2021-12-29 18:28:22,550 WARNING sliding door; wardrobe; four-poster spotted
2021-12-29 18:28:25,634 WARNING sliding door; wardrobe; four-poster spotted
2021-12-29 18:28:28,765 WARNING sliding door; barber chair; wardrobe spotted
2021-12-29 18:28:31,868 WARNING sliding door; wardrobe; four-poster spotted
2021-12-29 18:28:34,975 WARNING sliding door; wardrobe; four-poster spotted
2021-12-29 18:28:38,033 WARNING sliding door; refrigerator; four-poster spotted
2021-12-29 18:28:41,129 WARNING sliding door; refrigerator; tub spotted
2021-12-29 18:28:44,198 WARNING sliding door; television; refrigerator spotted
2021-12-29 18:28:47,245 WARNING sliding door; refrigerator; window shade spotted
2021-12-29 18:28:50,292 WARNING violin; cello; drumstick spotted
2021-12-29 18:28:53,408 WARNING suit; bow tie; buckle spotted
2021-12-29 18:28:56,470 WARNING violin; hook; hatchet spotted
2021-12-29 18:28:59,493 WARNING violin; assault rifle; revolver spotted
2021-12-29 18:29:02,514 WARNING violin; assault rifle; revolver spotted
2021-12-29 18:29:05,612 WARNING violin; assault rifle; cinema spotted
2021-12-29 18:29:08,752 WARNING violin; assault rifle; revolver spotted
2021-12-29 18:29:11,807 WARNING violin; assault rifle; revolver spotted
2021-12-29 18:29:14,901 WARNING violin; assault rifle; Polaroid camera spotted
2021-12-29 18:29:17,958 WARNING violin; assault rifle; reflex camera spotted
2021-12-29 18:29:21,037 WARNING assault rifle; violin; revolver spotted
2021-12-29 18:29:24,074 WARNING violin; assault rifle; teapot spotted
2021-12-29 18:29:27,144 WARNING violin; assault rifle; revolver spotted
2021-12-29 18:29:30,150 WARNING violin; assault rifle; revolver spotted
2021-12-29 18:29:33,191 WARNING violin; assault rifle; revolver spotted
2021-12-29 18:29:36,248 WARNING violin; assault rifle; grand piano spotted
2021-12-29 18:29:39,275 WARNING violin; assault rifle; revolver spotted
2021-12-29 18:29:42,298 WARNING violin; assault rifle; Polaroid camera spotted
2021-12-29 18:29:45,322 WARNING violin; assault rifle; buckle spotted
2021-12-29 18:29:48,438 WARNING violin; assault rifle; revolver spotted
2021-12-29 18:29:51,440 WARNING violin; assault rifle; revolver spotted
2021-12-29 18:29:54,462 WARNING violin; assault rifle; grand piano spotted
2021-12-29 18:29:57,511 WARNING violin; assault rifle; grand piano spotted
