WARNING:root:2021-12-29 15:37:29.470810, Mouse spotted
WARNING:root:2021-12-29 15:40:16.557762, Mouse spotted
WARNING:root:2021-12-29 15:41:32.554249, Mouse spotted
WARNING:root:2021-12-29 15:56:42.431520, Mouse spotted
WARNING:root:2021-12-29 15:57:03.144083, Mouse spotted
WARNING:root:2021-12-29 15:57:16.620154, Mouse spotted
WARNING:root:2021-12-29 15:57:43.058840, Mouse spotted
WARNING:root:2021-12-29 15:58:05.574280, Mouse spotted
WARNING:root:2021-12-29 15:58:20.051548, Mouse spotted
WARNING:root:2021-12-29 15:58:32.183415, Mouse spotted
WARNING:root:2021-12-29 16:00:13.101027, Mouse spotted
WARNING:root:2021-12-29 16:01:13.902710, Mouse spotted
WARNING:root:2021-12-29 16:01:59.289084, Mouse spotted
WARNING:root:2021-12-29 16:02:58.253965, Mouse spotted
WARNING:root:2021-12-29 16:03:25.700751, Mouse spotted
WARNING:root:2021-12-29 16:03:42.463082, Mouse spotted
WARNING:root:2021-12-29 16:04:07.707526, Mouse spotted
WARNING:root:2021-12-29 16:04:19.478404, Mouse spotted
WARNING:root:2021-12-29 16:04:33.859010, Mouse spotted
WARNING:root:2021-12-29 16:05:00.645490, Mouse spotted
WARNING:root:2021-12-29 16:05:25.873779, Mouse spotted
WARNING:root:2021-12-29 16:06:09.949059, Mouse spotted
WARNING:root:2021-12-29 16:06:23.164183, Mouse spotted
WARNING:root:2021-12-29 16:06:34.231076, Mouse spotted
WARNING:root:2021-12-29 16:06:45.959778, Mouse spotted
WARNING:root:2021-12-29 16:07:29.001449, Mouse spotted
WARNING:root:2021-12-29 16:07:41.259788, Mouse spotted
WARNING:root:2021-12-29 16:08:05.375943, Mouse spotted
WARNING:root:2021-12-29 16:08:17.431553, Mouse spotted
WARNING:root:2021-12-29 16:08:29.029257, Mouse spotted
WARNING:root:2021-12-29 16:08:44.357205, Mouse spotted
WARNING:root:2021-12-29 16:08:55.374655, Mouse spotted
WARNING:root:2021-12-29 16:09:11.246278, Mouse spotted
WARNING:root:2021-12-29 16:09:29.385819, Mouse spotted
WARNING:root:2021-12-29 16:09:48.180186, Mouse spotted
WARNING:root:2021-12-29 16:11:32.202057, Mouse spotted
WARNING:root:2021-12-29 16:11:32.349462, Mouse spotted
WARNING:root:2021-12-29 16:11:32.644922, Mouse spotted
WARNING:root:2021-12-29 16:11:32.812140, Mouse spotted
WARNING:root:2021-12-29 16:11:33.117804, Mouse spotted
WARNING:root:2021-12-29 16:11:33.394090, Mouse spotted
WARNING:root:2021-12-29 16:11:34.271713, Mouse spotted
WARNING:root:2021-12-29 16:11:34.900064, Mouse spotted
WARNING:root:2021-12-29 16:11:35.045006, Mouse spotted
WARNING:root:2021-12-29 16:11:37.433761, Mouse spotted
WARNING:root:2021-12-29 16:11:37.568249, Mouse spotted
WARNING:root:2021-12-29 16:11:37.724035, Mouse spotted
WARNING:root:2021-12-29 16:11:37.872186, Mouse spotted
WARNING:root:2021-12-29 16:11:38.008464, Mouse spotted
WARNING:root:2021-12-29 16:11:38.153680, Mouse spotted
WARNING:root:2021-12-29 16:11:38.310282, Mouse spotted
WARNING:root:2021-12-29 16:11:38.449275, Mouse spotted
WARNING:root:2021-12-29 16:11:38.594223, Mouse spotted
WARNING:root:2021-12-29 16:11:38.739520, Mouse spotted
WARNING:root:2021-12-29 16:11:38.908278, Mouse spotted
WARNING:root:2021-12-29 16:11:39.058994, Mouse spotted
WARNING:root:2021-12-29 16:11:39.194034, Mouse spotted
WARNING:root:2021-12-29 16:11:39.340605, Mouse spotted
WARNING:root:2021-12-29 16:11:39.556048, Mouse spotted
WARNING:root:2021-12-29 16:11:39.703844, Mouse spotted
WARNING:root:2021-12-29 16:11:39.847661, Mouse spotted
WARNING:root:2021-12-29 16:11:39.982073, Mouse spotted
WARNING:root:2021-12-29 16:11:40.128155, Mouse spotted
WARNING:root:2021-12-29 16:11:40.279607, Mouse spotted
WARNING:root:2021-12-29 16:11:40.417635, Mouse spotted
WARNING:root:2021-12-29 16:11:40.584086, Mouse spotted
